130000,河北省,
130200,唐山市,
130201,市辖区,
130202,路南区,
130203,路北区,
130204,古冶区,
130205,开平区,
130207,丰南区,
130208,丰润区,
130209,曹妃甸区,
130223,滦县,
130224,滦南县,
130225,乐亭县,
130227,迁西县,
130229,玉田县,
310000,上海市,
310100,市辖区,
310101,黄浦区,
310104,徐汇区,
310105,长宁区,
310106,静安区,
310107,普陀区,
310108,闸北区,
310109,虹口区,
310110,杨浦区,
310112,闵行区,
310113,宝山区,
310114,嘉定区,
310115,浦东新区,
310116,金山区,
310117,松江区,
310118,青浦区,
310120,奉贤区,
310200,县,
310230,崇明县,
320000,江苏省,
320100,南京市,
320400,常州市,
320401,市辖区,
320402,天宁区,
320404,钟楼区,
320405,戚墅堰区,
320411,新北区,
320412,武进区,
320481,溧阳市,
320482,金坛市,
330000,浙江省,
330100,杭州市,
330101,市辖区,
330102,上城区,
330103,下城区,
330104,江干区,
330105,拱墅区,
330106,西湖区,
330108,滨江区,
330109,萧山区,
330110,余杭区,
330122,桐庐县,
330127,淳安县,
330182,建德市,
330183,富阳市,
330185,临安市,
330600,绍兴市,
330601,市辖区,
330602,越城区,
330603,柯桥区,
330604,上虞区,
330624,新昌县,
330681,诸暨市,
330683,嵊州市,
350000,福建省,
350100,福州市,
350101,市辖区,
350102,鼓楼区,
350103,台江区,
350104,仓山区,
350105,马尾区,
350111,晋安区,
350121,闽侯县,
350122,连江县,
350123,罗源县,
350124,闽清县,
350125,永泰县,
350128,平潭县,
350181,福清市,
350182,长乐市,
370000,山东省,
370100,济南市,
370101,市辖区,
370102,历下区,
370103,市中区,
370104,槐荫区,
370105,天桥区,
370112,历城区,
370113,长清区,
370124,平阴县,
370125,济阳县,
370126,商河县,
370181,章丘市,
370600,烟台市,
370601,市辖区,
370602,芝罘区,
370611,福山区,
370612,牟平区,
370613,莱山区,
370634,长岛县,
370681,龙口市,
370682,莱阳市,
370683,莱州市,
370684,蓬莱市,
370685,招远市,
370686,栖霞市,
370687,海阳市,
